employee_id,first_name,last_name,email,phone,department,job_title,salary,join_date,performance_score
EMP0049,Ryan,Martin,farrelldebra@example.net,001-672-487-0320x3207,IT,Junior Engineer,77687.0,2023-08-25,3
EMP0050,Samuel,Carney,,(477)921-9034x04384,Sales,Senior Manager,73977.0,,2
EMP0051,,Kelly,hellis@example.net,(615)513-4228,HR,Lead Analyst,,2023-01-14,3
EMP0052,Teresa,Fox,robertjones@example.com,+1-915-904-1659x15201,Finance,Junior Consultant,50429.0,2022-05-22,5
EMP0053,Stephanie,Wheeler,riverabradley@example.net,859.323.0450x189,Engineering,Junior Analyst,65603.0,2022-02-10,5
EMP0054,Gregory,Hanna,,(764)521-4764x9251,Operations,Lead Consultant,70787.0,2022-07-26,3
EMP0055,Nicole,Alvarez,bdavis@example.com,(903)617-8078x235,Finance,Junior Engineer,101142.0,2023-03-10,4
EMP0056,Ryan,Simmons,yleon@example.net,3856732788,Finance,Lead Analyst,86872.0,2022-06-17,3
EMP0057,Christian,Solis,edgar24@example.org,964.690.8108x18661,Operations,Director Analyst,,2021-11-23,
EMP0058,Brenda,Mack,wilsondorothy@example.org,(960)616-4597,HR,Manager Manager,44739.0,,5
EMP0059,Samantha,Patrick,sarayoung@example.org,221.894.1680,Finance,Manager Analyst,86481.0,2020-09-13,4
EMP0060,George,Woods,MKIM@EXAMPLE.ORG,001-469-274-9956x412,Engineering,Lead Consultant,72298.0,2021-01-26,3
EMP0061,Lisa,Horton,,(340)658-0085,Marketing,Director Analyst,66461.0,2020-11-04,3
EMP0062,John,Wilkinson,christophercarrillo@example.org,(939)343-1290,Sales,Director Analyst,92233.0,2022-06-27,3
EMP0063,Andrew,Martin,,(677)870-7933,Sales,Senior Analyst,,2020-05-16,3
EMP0064,Alan,Mccoy,fpetty@example.net,001-998-540-7678,Operations,Director Analyst,100619.0,2023-09-10,3
EMP0065,Allison,Henderson,angela46@example.com,650.620.8021,Marketing,Junior Manager,98625.0,2020-09-13,3
EMP0066,Cindy,,shane60@example.org,637-857-3839x5972,Operations,Director Manager,63215.0,2024-12-01,3
EMP0067,,Nunez,laura29@example.org,327.887.7470,Engineering,Director Analyst,73815.0,,4
EMP0068,Kara,Estrada,glenmoore@example.com,(451)477-7392x60302,Engineering,Junior Analyst,86625.0,2020-08-15,2
EMP0069,,Perry,ntorres@example.net,3057452280,Marketing,Senior Engineer,99510.0,2022-04-09,2
EMP0070,Christina,Martinez,tomchaney@example.com,001-491-954-7887,IT,Junior Consultant,70416.0,2023-12-19,4
EMP0071,Kayla,Hawkins,jonesjason@example.com,(389)210-7711,HR,Senior Consultant,76286.0,2022-08-27,3
EMP0072,,Jackson,pittsrhonda@example.org,001-847-287-1255x2137,HR,Director Consultant,57873.0,2021-05-06,1
EMP0073,Lisa,Peterson,christopherwatson@example.com,(732)286-3266x678,Operations,Senior Analyst,56075.0,2022-05-01,2
EMP0074,Kayla,Robbins,jsanchez@example.org,781-929-8266,HR,Lead Engineer,96250.0,2022-09-15,
EMP0075,Chad,Morgan,kholden@example.com,8606290846,Operations,Junior Consultant,,2023-09-23,3
EMP0076,Lee,Cooper,rachel92@example.net,(773)889-9756x3410,Sales,Lead Consultant,107124.0,2023-09-29,2
EMP0077,Jody,Martinez,jason88@example.com,752.600.8943x46810,Engineering,Manager Manager,78559.0,2023-04-03,1
EMP0078,Michael,Williams,westashley@example.org,453.899.8935x449,Operations,Senior Consultant,100070.0,,5
EMP0079,John,Murphy,blackjames@example.org,4273937145,Operations,Director Analyst,87232.0,,5
EMP0080,,Ward,thomasronald@example.com,710-862-7371,Sales,Lead Manager,67097.0,2023-01-22,4
EMP0081,,Foster,breanna67@example.net,962.928.2772x8813,Sales,Senior Consultant,,2020-04-12,3
EMP0082,,Moore,melissa14@example.com,+1-651-296-1159,HR,Senior Analyst,87227.0,2022-09-25,2
EMP0083,David,Torres,kevin70@example.org,(296)304-4327,Finance,Manager Consultant,110760.0,2022-11-09,1
EMP0084,Carlos,Williams,kberry@example.com,867-892-2877x72519,Sales,Manager Manager,79283.0,2021-04-13,1
EMP0085,Randall,,rubiopamela@example.net,212-509-4818x139,Marketing,Junior Engineer,111292.0,2023-11-15,1
EMP0086,Wayne,Smith,awest@example.org,+1-282-904-3397x18956,HR,Senior Manager,27605.0,2024-06-05,3
EMP0087,Andrew,Kim,ccalderon@example.org,(608)356-4111x82422,Finance,Manager Manager,96438.0,2020-11-20,3
EMP0088,Stephanie,Gregory,mendezmark@example.org,001-419-957-6122x8685,Finance,Lead Engineer,81740.0,2023-09-08,1
EMP0089,Kenneth,Garcia,,803-339-9378,IT,Lead Engineer,74019.0,2021-06-18,
EMP0090,Lucas,Tran,dwhite@example.org,370-563-0489,IT,Junior Consultant,81835.0,2023-12-07,4
EMP0091,Denise,Martinez,ogriffin@example.net,925.282.3868,Operations,Senior Manager,40248.0,2020-02-14,
EMP0092,,Calderon,laurie61@example.com,001-264-320-8737x530,Engineering,Senior Consultant,75606.0,2021-07-25,4
EMP0093,Teresa,Smith,qnelson@example.net,(853)398-4028x9141,IT,Director Analyst,87142.0,2024-04-09,3
EMP0094,Jessica,Lutz,gclark@example.com,+1-254-974-3553x79502,Operations,Junior Manager,,2020-02-20,4
EMP0095,Albert,,robertwoodard@example.net,868.411.8071x5695,Sales,Manager Manager,109557.0,2024-04-25,
EMP0096,Lisa,Terrell,fordsharon@example.com,5305453194,Sales,Lead Consultant,,2025-01-07,
EMP0097,,Johnson,ronaldstephens@example.net,593.403.6149x8728,Marketing,Senior Manager,69634.0,2020-06-11,1
EMP0098,David,Brown,sarah38@example.net,830-889-4870x605,HR,Lead Engineer,63830.0,2021-06-27,3
EMP0099,Erin,Owens,zachary03@example.org,568-875-0635x190,Engineering,Manager Manager,69964.0,2024-11-27,4
EMP0100,Sally,Gonzalez,ericphillips@example.org,541-710-7609x54317,Engineering,Director Manager,98308.0,2024-04-13,2
EMP0101,Lorraine,,sherryparsons@example.net,438-863-3839,Sales,Director Manager,86575.0,2022-04-24,3
EMP0102,,Griffin,stevenscott@example.com,910-206-5120,IT,Senior Analyst,69404.0,2021-08-16,3
EMP0103,Connie,Jones,hansenkenneth@example.com,(319)763-9907x6769,Marketing,Manager Analyst,90265.0,,3
EMP0104,Emma,Johnson,briana11@example.org,+1-919-439-2845x679,Operations,Junior Consultant,,,4
EMP0105,Laura,Brown,breanna85@example.com,001-782-227-4954,Finance,Senior Analyst,81941.0,2022-09-15,2
EMP0106,Diane,Thomas,williamconley@example.org,(753)633-1537x79599,HR,Lead Manager,99372.0,,4
EMP0107,Francis,Gibson,crawfordsamantha@example.net,537.893.3756,IT,Senior Manager,65958.0,2021-01-14,5
EMP0108,Veronica,,alfred40@example.org,(701)250-8124x739,HR,Senior Manager,73446.0,2024-12-29,4
EMP0109,James,Mitchell,nicolehiggins@example.com,001-821-785-0163x15999,IT,Manager Manager,72157.0,,2
EMP0110,John,Gonzalez,meganlozano@example.org,+1-826-315-3473x55289,HR,Director Manager,50729.0,,3
EMP0111,Nicole,Anderson,jamesgray@example.com,717-899-3136,IT,Junior Engineer,85922.0,2021-09-15,1
EMP0112,Russell,Fields,hinesbrenda@example.net,325-430-4289x7317,IT,Director Engineer,85221.0,2022-08-30,4
EMP0113,Karen,Newman,,3867353654,IT,Lead Consultant,80102.0,2023-09-06,3
EMP0114,Alicia,Webb,lwells@example.com,+1-490-733-3736x3466,IT,Director Consultant,75308.0,2021-05-23,2
EMP0115,Christopher,Walton,sean53@example.net,8787956776,Marketing,Junior Analyst,51692.0,2024-02-21,4
EMP0116,Logan,Reyes,scottbaker@example.org,(714)288-8143x111,Operations,Lead Engineer,71587.0,2022-11-06,4
EMP0117,matthew,Leonard,jenniferross@example.net,001-469-412-5177x85289,Marketting,Senior Analyst,,2021-05-14,1
EMP0118,Julie,Mack,alyssa42@example.com,239-928-4044x566,Marketing,Senior Analyst,,2023-05-23,2
EMP0119,Veronica,Lynn,mnavarro@example.com,(733)537-3898x7751,Marketing,Director Analyst,,2022-04-06,1
EMP0120,Sheri,Butler,jcole@example.org,(829)624-0755x366,Operations,Junior Engineer,73145.0,2021-09-30,
EMP0121,Andrew,Floyd,,001-899-596-6361,IT,Manager Consultant,,2022-06-29,5
EMP0122,Mark,Hayden,christopher18@example.org,5975023164,Marketing,Lead Consultant,63954.0,2021-07-28,4
EMP0123,,Gibson,april25@example.com,(821)928-6716x3234,Finance,Lead Consultant,,2020-11-29,2
EMP0124,Barbara,Collins,DLITTLE@EXAMPLE.COM,887.543.0271,Engineering,Junior Analyst,76774.0,,3
EMP0125,Renee,Suarez,cford@example.net,547-454-6926,IT,Senior Consultant,88081.0,2024-08-14,4
EMP0126,Jessica,Ellis,hollydavis@example.net,(560)983-3181x958,IT,Manager Engineer,117723.0,2024-11-05,
EMP0127,John,Harrell,myerstheodore@example.net,784-813-7681x511,Marketing,Lead Consultant,83491.0,2022-05-16,4
EMP0128,Johnny,Hunter,ojohnson@example.net,916-872-4342x6617,Sales,Junior Manager,85151.0,2023-07-01,3
EMP0129,Steven,Cooper,teresa28@example.org,(925)283-1323,Sales,Manager Consultant,78511.0,,2
EMP0130,James,Johnson,danny25@example.net,001-477-271-1837x2742,Marketing,Director Analyst,41624.0,25-02-2023,
EMP0131,,Martinez,russellwilliams@example.com,746-759-1166,Engineering,Senior Manager,79469.0,2023-10-29,4
EMP0132,,Jackson,byrderic@example.com,913.263.6317,Sales,Director Analyst,81204.0,2021-01-03,5
EMP0133,,Klein,andreamoore@example.com,(340)658-0085,Engineering,Senior Analyst,,2024-07-31,3
EMP0134,,Ramos,christina87@example.com,2818647090,Operations,Junior Analyst,129264.0,2023-12-15,1
EMP0135,Sarah,Brooks,jamessmith@example.org,8533131220,Operations,Lead Manager,76152.0,2024-03-13,4
EMP0136,Marcus,Sims,,733-215-5206,IT,Senior Engineer,86030.0,2022-01-24,
EMP0137,Stephen,,barrettjoshua@example.net,555-488-4506x159,Operations,Junior Consultant,79305.0,2021-12-18,3
EMP0138,Carlos,Robinson,katrina71@example.net,+1-792-441-9562,Operations,Manager Manager,56626.0,2023-04-18,4
EMP0139,Nicole,Stewart,bjones@example.net,976-944-7264x9082,Engineering,Lead Analyst,102856.0,2024-09-05,
EMP0140,Shane,Dixon,cameronhill@example.net,001-338-290-3091x4363,IT,Lead Analyst,95038.0,2020-10-21,3
EMP0141,Victor,Harris,charris@example.org,001-797-752-4508x6403,Finance,Senior Engineer,,2021-04-30,2
EMP0142,,Knox,LAURIEHORTON@EXAMPLE.ORG,+1-468-552-7017x130,Engineering,Senior Engineer,95820.0,2020-09-29,2
EMP0143,Glenn,Dunn,joelmiller@example.net,942.533.6293x449,Operations,Lead Engineer,61812.0,2021-06-23,
EMP0144,Kimberly,Miller,cjackson@example.com,(266)827-7689x627,Marketing,Manager Manager,108055.0,2022-04-03,5
EMP0145,Christopher,Knox,brooke28@example.net,(946)374-7468,IT,Senior Analyst,51962.0,2021-10-13,3
EMP0146,Jennifer,Gonzalez,paulwatson@example.net,936.745.2577,Operations,Senior Manager,91737.0,2024-09-12,5
EMP0147,Adam,Hensley,brownjessica@example.org,+1-269-803-3119x07903,Sales,Junior Engineer,,,1
EMP0148,Nicholas,Sullivan,,(674)791-6016x9236,Sales,Lead Engineer,123809.0,2022-09-01,5
EMP0149,Tracy,Barker,curtissara@example.net,937.405.0249,Finance,Senior Consultant,60189.0,2021-05-22,5
EMP0150,Carrie,Lynn,alexanderwise@example.net,001-866-691-8362x644,Finance,Manager Analyst,68674.0,,1
EMP0151,Karen,Glass,carl95@example.org,219-452-4364,Marketing,Senior Manager,81993.0,2024-03-14,1
EMP0152,Aaron,Jones,pwarren@example.com,001-562-425-2237x2817,Engineering,Junior Consultant,69930.0,2021-02-14,
EMP0153,,Lamb,ronaldstephens@example.net,346.879.1214,Sales,Senior Analyst,,27-09-2020,5
EMP0154,Caleb,Johnson,wagnergerald@example.org,(558)855-6659x398,Finance,Junior Manager,48986.0,2021-04-16,2
EMP0155,Todd,Hodges,brownkaren@example.org,7174157724,Operations,Junior Manager,81371.0,2023-06-12,2
EMP0156,Kristina,Williams,alexasmith@example.net,847.275.9655x55356,Operations,Senior Manager,58753.0,,3
EMP0157,,Drake,bryantholly@example.net,(909)818-4357,Marketing,Manager Engineer,89471.0,2023-06-03,4
EMP0158,Aaron,Little,allen50@example.net,573-497-6915x67164,IT,Junior Analyst,61611.0,2024-06-20,4
EMP0159,Nancy,Glover,richard04@example.com,001-980-527-1487x271,Sales,Lead Engineer,110998.0,2021-05-02,1
EMP0160,,Raymond,GARCIAVICTORIA@EXAMPLE.ORG,(956)343-4712,Finance,Junior Analyst,,2024-02-05,1
EMP0161,Marvin,Walker,schneidernicholas@example.net,911-252-6218x159,Engineering,Manager Manager,64334.0,2023-11-01,2
EMP0162,Jessica,Valdez,ostokes@example.com,741-411-5931,Operations,Lead Consultant,73558.0,2024-05-21,5
EMP0163,Stephanie,Ray,collinsbrittany@example.org,(727)902-6728,HR,Junior Analyst,,2024-05-09,
EMP0164,Tina,Flores,lauren28@example.net,521.248.6289x02330,HR,Senior Manager,96270.0,2023-02-16,1
EMP0165,Jeffrey,Foster,sstewart@example.org,972.594.2095x4814,Operations,Lead Consultant,55382.0,2022-08-05,2
EMP0166,Janet,Bennett,eric33@example.net,(848)390-9010x0167,Finance,Manager Engineer,84549.0,2023-10-19,3
EMP0167,,Parsons,tluna@example.net,(808)365-6756,IT,Junior Analyst,106142.0,2022-10-04,1
EMP0168,,Horton,jacquelinekelley@example.org,(959)904-7292,Enginering,Junior Manager,47850.0,2021-07-28,1
EMP0169,Duane,Robinson,juliawells@example.com,+1-455-969-9023x55770,Operations,Senior Consultant,83692.0,2023-11-11,2
EMP0170,Jill,Smith,gregoryvanessa@example.org,(862)401-5720x1859,Marketing,Manager Manager,85197.0,2023-04-03,
EMP0171,Richard,Johnson,randallgreene@example.org,867.649.2617,HR,Director Manager,95636.0,2023-04-13,1
EMP0172,,,wilsonchristopher@example.com,+1-983-809-9974x1926,Operations,Senior Engineer,55260.0,2021-08-11,4
EMP0173,David,Nguyen,richardhaynes@example.com,+1-588-371-8981,Engineering,Junior Manager,,2021-01-08,2
EMP0174,Carol,White,mccormickdeborah@example.org,001-775-418-6363x7454,HR,Director Manager,,2022-11-22,2
EMP0175,Lauren,Martinez,,+1-366-750-6180x9190,Operations,Senior Analyst,53590.0,2022-12-06,2
EMP0176,melissa,Johnson,dlittle@example.com,001-598-837-3540x33173,Finance,Director Engineer,,2025-01-07,5
EMP0177,William,Cox,rebekahserrano@example.org,591-496-5701,HR,Manager Engineer,90438.0,2022-11-03,3
EMP0178,Rodney,Landry,wrightbrandon@example.net,387-229-7585x9883,Sales,Senior Engineer,85939.0,2021-04-21,5
EMP0179,Jacob,Evans,davisjeffrey@example.net,(262)606-7240,HR,Manager Engineer,85009.0,2024-04-13,1
EMP0180,,Bernard,brittanyramirez@example.net,+1-861-484-4626x714,HR,Senior Manager,,2022-10-19,3
EMP0181,Chad,,zwarren@example.com,001-243-559-8926x2566,Finance,Lead Engineer,86928.0,2020-07-03,5
EMP0182,David,Rodriguez,ojones@example.org,(261)282-5128x6823,Engineering,Manager Engineer,66399.0,2021-12-06,4
EMP0183,Matthew,Nelson,joshuagarcia@example.org,8365965666,Operations,Director Analyst,84645.0,2022-01-04,5
EMP0184,,Garcia,thompsonjessica@example.com,001-695-901-4556x1681,HR,Director Engineer,85861.0,2023-01-23,
EMP0185,Lindsay,Davis,jackie48@example.com,+1-910-425-6258x896,Finance,Senior Manager,65712.0,2021-05-31,2
EMP0186,Gloria,Reeves,douglasbradley@example.com,9536967275,Engineering,Director Analyst,117315.0,2021-06-30,3
EMP0187,Ronald,David,mnavarro@example.com,(438)565-5779x0827,Operations,Senior Consultant,89476.0,2024-07-11,3
EMP0188,Lisa,Torres,mezarichard@example.com,611-931-2901,HR,Director Engineer,56173.0,2024-02-28,4
EMP0189,Alex,Vaughan,jeffrey28@example.com,+1-782-577-8816x09306,Operations,Director Engineer,93131.0,2025-02-02,
EMP0190,Donna,Knapp,,484.424.9818,Operations,Lead Consultant,60506.0,2024-10-08,5
EMP0191,Kathryn,Mckee,stephanie71@example.org,(815)428-5067,HR,Manager Engineer,95741.0,2021-12-25,1
EMP0192,Daniel,Sloan,marierosales@example.org,947-944-3096x3480,IT,Director Consultant,103171.0,2020-05-28,1
EMP0193,Adam,Stevens,michael05@example.net,772.998.2595x26949,IT,Junior Analyst,63586.0,2021-01-18,4
EMP0194,Michael,Garcia,hgonzalez@example.net,(861)770-2437,Finance,Junior Consultant,99267.0,2021-08-12,1
EMP0195,Ross,White,daniel77@example.org,(256)405-3134,Engineering,Manager Engineer,88255.0,2022-02-02,4
EMP0196,,Manning,prestonjulia@example.org,9234741678,IT,Manager Consultant,96441.0,2021-09-28,
EMP0197,Kathy,Macias,ganderson@example.org,(225)880-3056,Finance,Junior Consultant,117935.0,2022-07-09,1
EMP0198,Justin,Miller,jwright@example.net,523.441.4363x71892,IT,Lead Manager,75092.0,,2
EMP0199,David,Johnson,sarahsimmons@example.net,710.866.8433,Operations,Director Consultant,64925.0,2022-07-07,3
EMP0200,,,tschneider@example.org,754-556-3502x000,Engineering,Lead Engineer,62209.0,2021-07-18,
EMP0201,Joshua,Obrien,flopez@example.com,541-610-8255x59895,Engineering,Director Analyst,63683.0,2021-03-02,1
EMP0202,Patrick,Eaton,SANDERSJUDY@EXAMPLE.COM,(391)709-3371,Finance,Junior Analyst,78457.0,2021-08-16,4
EMP0203,,Wells,amanda51@example.net,001-338-820-2368x48557,Finance,Junior Engineer,86823.0,,5
EMP0204,Robert,Velazquez,jacksonjoshua@example.org,9382862912,Engineering,Junior Manager,85533.0,2021-07-26,3
EMP0205,Stephanie,Brown,joysanders@example.net,+1-881-627-8686,Operations,Senior Analyst,96543.0,2021-02-25,2
EMP0206,,Smith,michaeljones@example.net,001-475-900-1701,Operations,Manager Engineer,80260.0,2022-12-23,
EMP0207,Brittany,Smith,ugordon@example.net,643-244-8123x083,Marketing,Lead Engineer,109070.0,2023-04-26,2
EMP0208,Sheri,Ramirez,josephgibbs@example.net,338.610.5955,Marketing,Lead Analyst,74706.0,2023-09-24,5
EMP0209,Ricky,Carr,kellie42@example.net,500-953-4240x89164,Marketing,Junior Consultant,134403.0,,1
EMP0210,Joseph,Perkins,jsanchez@example.org,(629)662-0153x36884,Marketing,Junior Engineer,92513.0,2024-02-27,1
EMP0211,Karen,Moore,jessicahamilton@example.org,617.427.2239x7240,HR,Senior Engineer,62856.0,2024-07-18,3
EMP0212,Lisa,Mcdaniel,chadjones@example.org,261.282.0916x601,IT,Junior Analyst,58582.0,2020-10-11,1
EMP0213,Kayla,Adams,sparksalbert@example.org,+1-651-732-7972,HR,Director Consultant,89649.0,2022-07-06,3
EMP0214,John,Stephens,courtney10@example.org,284-518-6203,Marketing,Senior Analyst,75530.0,2022-04-03,1
EMP0215,,Hernandez,jeremiah61@example.com,(262)606-7240,Engineering,Junior Engineer,94280.0,2020-12-18,2
EMP0216,,Garcia,michael95@example.org,(410)692-2685x926,Marketing,Lead Engineer,89464.0,2023-03-30,3
EMP0217,Justin,Hutchinson,sabrina54@example.net,302-325-2677,Sales,Lead Consultant,78543.0,2023-01-03,2
EMP0218,Susan,Ramirez,morrisdavid@example.com,001-811-368-6854x8709,Engineering,Lead Manager,63064.0,2021-11-18,
EMP0219,Troy,Olson,oguzman@example.com,(536)868-7887,HR,Junior Analyst,49703.0,2020-07-14,5
EMP0220,Jennifer,Rose,jacquelineyoung@example.org,705.487.2105,Finance,Lead Consultant,71069.0,04-08-2021,2
EMP0221,Douglas,,osanchez@example.org,+1-356-526-5650x45547,Engineering,Manager Engineer,97127.0,2023-11-08,5
EMP0222,David,Dominguez,,(301)591-7920x252,HR,Director Consultant,84281.0,2020-07-02,2
EMP0223,Ashley,Cervantes,KATHYHARRISON@EXAMPLE.ORG,001-484-476-5704x1200,HR,Director Manager,55085.0,2020-03-03,2
EMP0224,Marissa,Frazier,george97@example.net,951-810-4754x12126,Marketing,Director Manager,83463.0,2024-07-01,2
EMP0225,Angela,Gallegos,jenna62@example.com,886-423-6903,Engineering,Director Engineer,87706.0,2024-03-25,5
EMP0226,Theresa,,joshua94@example.net,(893)487-0051,Engineering,Lead Analyst,,2023-02-22,1
EMP0227,Chris,Schwartz,pedwards@example.com,(345)397-0108x22078,Engineering,Manager Consultant,62322.0,2024-04-03,2
EMP0228,Fred,Pratt,glee@example.org,359-350-3428,Sales,Junior Analyst,,2021-03-06,5
EMP0229,Alex,Browning,benjamin96@example.com,283.903.4199,Sales,Director Manager,83074.0,2020-05-06,1
EMP0230,Leonard,Harding,zroberts@example.org,4543683565,Operations,Senior Manager,81164.0,2021-10-10,
EMP0231,Peggy,Gordon,rose31@example.net,(267)260-0835x0583,HR,Senior Consultant,57140.0,2022-08-18,5
EMP0232,Kimberly,Johnson,sarahibarra@example.org,(479)704-2271x1332,Operations,Manager Consultant,87155.0,2022-05-10,
EMP0233,David,Carter,twilliams@example.net,(333)999-1297x1024,Operations,Director Engineer,91215.0,2020-08-02,2
EMP0234,Lee,Villa,,312-974-7472,Sales,Lead Engineer,101661.0,2020-04-25,5
EMP0235,Michele,Morales,scotthunt@example.net,351-668-7409x03802,IT,Senior Analyst,101076.0,2021-12-30,3
EMP0236,Ashley,Nash,paulford@example.org,(877)787-1121x663,Marketing,Lead Consultant,52446.0,2020-06-09,3
EMP0237,Matthew,Munoz,jacquelinealvarez@example.com,208.727.2359x096,Operations,Manager Manager,61243.0,2024-01-25,3
EMP0238,Tiffany,Lewis,mirandacisneros@example.net,(544)621-2146x14768,Operations,Senior Analyst,90300.0,2021-01-14,3
EMP0239,Brian,Jacobson,adam29@example.net,(547)280-7740x649,Marketing,Manager Manager,,2022-04-05,
EMP0240,Tabitha,Phillips,bwilkerson@example.com,856.277.8265,IT,Junior Analyst,,2022-12-03,4
EMP0241,Patricia,Gonzalez,courtneyberger@example.net,318-363-8782x94565,Engineering,Director Engineer,,2023-09-25,3
EMP0242,Beth,Thomas,lauren10@example.org,+1-450-927-2751x64807,IT,Junior Consultant,90275.0,2023-04-25,4
